,Focal_variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1,CD_8_T_effector,CD_8_T_effector,0.379403887707277,0.882334742310962,-1.09839715934486,0.272031102259631,0.0673065116268701,2.13868326448714
2,CD_8_T_effector,Age,1.01089513387326,0.00779346373654446,1.39042277923345,0.164400533255563,0.995571137734101,1.02645499950358
3,CD_8_T_effector,GenderMALE,0.987426055351059,0.154180929368812,-0.0820702386443857,0.934590859386087,0.729903654027997,1.3358067320331
4,CD_8_T_effector,Stage_ajccStage II,2.26315758614803,0.188007137905592,4.34430846228856,1.39715083678076e-05,1.56560727057369,3.2714987698432
5,CD_8_T_effector,Stage_ajccStage III,3.24412082029776,0.195357311396013,6.02406109801968,1.70094107813187e-09,2.21211945494503,4.75757304749663
6,CD_8_T_effector,Stage_ajccStage IV,3.61942783263918,0.286547130613338,4.48902054370612,7.15513975453119e-06,2.06409918288449,6.34671916171009
7,DDR,DDR,997451.987775438,4.88165590936648,2.82956430163969,0.00466114324549864,69.7620054304036,14261494660.0083
8,DDR,Age,1.01512898235612,0.00798389959530084,1.8807451739518,0.0600065914151056,0.999367724940375,1.03113881417458
9,DDR,GenderMALE,0.952404942049722,0.153891971186293,-0.316877969386934,0.751336199131921,0.704414937658169,1.28770008293167
10,DDR,Stage_ajccStage II,2.16764352628456,0.188566416517565,4.10274883089025,4.08270389939217e-05,1.49788971343454,3.13686542800915
11,DDR,Stage_ajccStage III,3.11925147475289,0.195882759222834,5.80752009831364,6.34049425947443e-09,2.12478348512137,4.57916292689574
12,DDR,Stage_ajccStage IV,3.47553582523795,0.28702577039915,4.34019795403989,1.42354418198975e-05,1.98018146367147,6.10012238480207
13,APM,APM,1157.16676099954,4.87188259034861,1.44784479474515,0.14766046179237,0.0824977247388193,16231173.8535994
14,APM,Age,1.00995580311377,0.00778047703304269,1.27326005337945,0.202925776796555,0.994671363654594,1.02547510817592
15,APM,GenderMALE,1.03473306576331,0.154937606749311,0.220369261503179,0.825583582756421,0.763739403344149,1.40188199364316
16,APM,Stage_ajccStage II,2.1789983721546,0.188758110890043,4.12626141058996,3.68708143098878e-05,1.50517054356938,3.15448234496594
17,APM,Stage_ajccStage III,3.24833343618467,0.195065208424267,6.03973453529322,1.54367983649382e-09,2.21626044831268,4.76102441870886
18,APM,Stage_ajccStage IV,3.69629756306404,0.286645137147772,4.56080180893418,5.09586613196322e-06,2.10753183187549,6.48275649651982
19,Immune_Checkpoint,Immune_Checkpoint,0.439055275516925,0.988130173258335,-0.833017737713413,0.404834725631375,0.0633025596957693,3.04520916509047
20,Immune_Checkpoint,Age,1.0103034597316,0.0077492297836116,1.32280771013222,0.185899332549498,0.995074698891704,1.02576528363397
21,Immune_Checkpoint,GenderMALE,0.977370673159153,0.156333041061143,-0.146413703678084,0.883594809916076,0.719429724853879,1.3277925553404
22,Immune_Checkpoint,Stage_ajccStage II,2.26686576251253,0.18808654623904,4.35117860593304,1.35407692942945e-05,1.56792846559239,3.27736915172979
23,Immune_Checkpoint,Stage_ajccStage III,3.27804198711466,0.194976180493546,6.08918630980525,1.13485991196384e-09,2.23692017381287,4.80372942900803
24,Immune_Checkpoint,Stage_ajccStage IV,3.56993968871421,0.287839229339652,4.4210398445364,9.82270572477224e-06,2.03072765362576,6.27581416853328
25,CellCycle_Reg,CellCycle_Reg,95.2737895104248,3.47632297970662,1.31079729014319,0.189926258333107,0.104694038940522,86701.1633091503
26,CellCycle_Reg,Age,1.00942239918013,0.00780525203081676,1.20153522645888,0.229543650418343,0.994097759459977,1.02498327782178
27,CellCycle_Reg,GenderMALE,1.00774020166239,0.153572401104557,0.0502069377566361,0.959957482998106,0.745808827368291,1.36166303854309
28,CellCycle_Reg,Stage_ajccStage II,2.19710522381528,0.18830692225577,4.18009426920491,2.91388275244877e-05,1.51902077595839,3.17788370041927
29,CellCycle_Reg,Stage_ajccStage III,3.24330642995709,0.195182661234646,6.02816513042446,1.65831570717288e-09,2.212321299591,4.75475085854196
30,CellCycle_Reg,Stage_ajccStage IV,3.75177130462519,0.287121283876515,4.60512038156628,4.12227327035025e-06,2.13716610356483,6.5861927618683
31,Pan_F_TBRs,Pan_F_TBRs,5.01905929799232,2.0298447551708,0.794761530996911,0.42675223224434,0.0939323826528705,268.181808289234
32,Pan_F_TBRs,Age,1.01028989961406,0.0077444054721038,1.32189863067704,0.186201908468925,0.995070751995881,1.0257418170667
33,Pan_F_TBRs,GenderMALE,1.01094468467353,0.154172904024961,0.0706040087402629,0.94371291986425,0.747300339145972,1.3676016213744
34,Pan_F_TBRs,Stage_ajccStage II,2.22440068975495,0.188169503079657,4.24876248984206,2.14954672404243e-05,1.53830640982113,3.21649730963391
35,Pan_F_TBRs,Stage_ajccStage III,3.22006707869243,0.196762749750098,5.94320923404768,2.79495305971648e-09,2.18967753396531,4.73532373166462
36,Pan_F_TBRs,Stage_ajccStage IV,3.73525496038556,0.287526523861645,4.58328526023296,4.57726923850171e-06,2.126068389104,6.56240866502174
37,EMT1,EMT1,0.127938855880626,3.09809582375102,-0.663698908813946,0.506883037908549,0.000295051968471163,55.4761621447832
38,EMT1,Age,1.01005663495347,0.00775560432879219,1.29021583208861,0.196975730660218,0.994819165387159,1.02552749415164
39,EMT1,GenderMALE,0.987728020710368,0.154780899807132,-0.0797766509220546,0.936414894988273,0.72926879979999,1.33778744293461
40,EMT1,Stage_ajccStage II,2.27950875120443,0.188872662831979,4.36251571507967,1.28575347149114e-05,1.57424586689373,3.30072973738884
41,EMT1,Stage_ajccStage III,3.31841165267864,0.195422121252822,6.13792462640591,8.36065112605801e-10,2.2624898969471,4.86714036225855
42,EMT1,Stage_ajccStage IV,3.63570939368883,0.286504771700999,4.50534991347418,6.62636602458571e-06,2.07355642849069,6.374739849727
43,EMT2,EMT2,9.07393080685449,1.37069804682375,1.60896527203337,0.107623935495584,0.61809491469363,133.209671088128
